Accident_Index,Age_Band_of_Driver,Age_of_Vehicle,Driver_Home_Area_Type,Driver_IMD_Decile,Engine_Capacity_.CC.,Hit_Object_in_Carriageway,Hit_Object_off_Carriageway,Journey_Purpose_of_Driver,Junction_Location,make,model,Propulsion_Code,Sex_of_Driver,Skidding_and_Overturning,Towing_and_Articulation,Vehicle_Leaving_Carriageway,Vehicle_Location.Restricted_Lane,Vehicle_Manoeuvre,Vehicle_Reference,Vehicle_Type,Was_Vehicle_Left_Hand_Drive,X1st_Point_of_Impact,Year_x,1st_Road_Class,1st_Road_Number,2nd_Road_Class,2nd_Road_Number,Accident_Severity,Carriageway_Hazards,Date,Day_of_Week,Did_Police_Officer_Attend_Scene_of_Accident,Junction_Control,Junction_Detail,Latitude,Light_Conditions,Local_Authority_(District),Local_Authority_(Highway),Location_Easting_OSGR,Location_Northing_OSGR,Longitude,LSOA_of_Accident_Location,Number_of_Casualties,Number_of_Vehicles,Pedestrian_Crossing-Human_Control,Pedestrian_Crossing-Physical_Facilities,Police_Force,Road_Surface_Conditions,Road_Type,Special_Conditions_at_Site,Speed_limit,Time,Urban_or_Rural_Area,Weather_Conditions,Year_y,InScotland
200501BS70017,36 - 45,3.0,Urban area,2.0,2664.0,None,None,Other/Not known (2005-10),Mid Junction - on roundabout or on main road,LONDON TAXIS INT,TX1 BRONZE AUTO,Heavy oil,Male,None,No tow/articulation,Did not leave carriageway,0.0,Going ahead other,1.0,Taxi/Private hire car,No,Back,2005.0,A,308.0,Unclassified,0.0,Slight,None,2005-02-08,Tuesday,1.0,Give way or uncontrolled,T or staggered junction,51.488776,Darkness - lights lit,Kensington and Chelsea,Kensington and Chelsea,526710.0,178230.0,-0.176346,E01002910,1.0,2.0,0.0,0.0,Metropolitan Police,Dry,Single carriageway,None,30.0,20:00,Urban,Fine no high winds,2005.0,No
200501BS70017,56 - 65,39.0,Data missing or out of range,,,None,None,Journey as part of work,Mid Junction - on roundabout or on main road,LEYLAND AEC,,Heavy oil,Male,None,No tow/articulation,Did not leave carriageway,0.0,Going ahead other,2.0,Bus or coach (17 or more pass seats),No,Front,2005.0,A,308.0,Unclassified,0.0,Slight,None,2005-02-08,Tuesday,1.0,Give way or uncontrolled,T or staggered junction,51.488776,Darkness - lights lit,Kensington and Chelsea,Kensington and Chelsea,526710.0,178230.0,-0.176346,E01002910,1.0,2.0,0.0,0.0,Metropolitan Police,Dry,Single carriageway,None,30.0,20:00,Urban,Fine no high winds,2005.0,No
200501BS70018,66 - 75,1.0,Urban area,6.0,1994.0,None,None,Other/Not known (2005-10),Not at or within 20 metres of junction,SUBARU,IMPREZA GX SPORT AWD A,Petrol,Male,None,No tow/articulation,Did not leave carriageway,0.0,Waiting to go - held up,2.0,Car,No,Nearside,2005.0,A,315.0,,0.0,Slight,None,2005-02-16,Wednesday,1.0,Data missing or out of range,Not at junction or within 20 metres,51.502177,Daylight,Kensington and Chelsea,Kensington and Chelsea,525860.0,179700.0,-0.188058,E01002889,1.0,2.0,0.0,0.0,Metropolitan Police,Dry,Single carriageway,None,30.0,08:20,Urban,Fine no high winds,2005.0,No
200501BS70019,66 - 75,18.0,Urban area,3.0,1488.0,None,None,Other/Not known (2005-10),Not at or within 20 metres of junction,HONDA,BALLADE EX AUTO,Petrol,Male,None,No tow/articulation,Did not leave carriageway,0.0,Going ahead other,2.0,Car,No,Front,2005.0,Unclassified,0.0,,0.0,Slight,None,2005-02-07,Monday,1.0,Data missing or out of range,Not at junction or within 20 metres,51.4849,Daylight,Kensington and Chelsea,Kensington and Chelsea,526360.0,177790.0,-0.181542,E01002912,1.0,2.0,0.0,0.0,Metropolitan Police,Dry,Single carriageway,None,30.0,11:30,Urban,Fine no high winds,2005.0,No
200501BS70020,46 - 55,2.0,Data missing or out of range,,124.0,None,None,Other/Not known (2005-10),Mid Junction - on roundabout or on main road,PIAGGIO,VESPA GT 125,Petrol,Male,None,No tow/articulation,Did not leave carriageway,0.0,Going ahead other,2.0,Motorcycle 125cc and under,No,Front,2005.0,A,4.0,A,3218.0,Slight,None,2005-02-10,Thursday,1.0,Give way or uncontrolled,T or staggered junction,51.495806,Darkness - lights lit,Kensington and Chelsea,Kensington and Chelsea,527020.0,179020.0,-0.171599,E01002821,1.0,2.0,0.0,0.0,Metropolitan Police,Wet or damp,Single carriageway,None,30.0,18:10,Urban,Raining no high winds,2005.0,No
200501BS70021,26 - 35,5.0,Urban area,3.0,8300.0,None,None,Other/Not known (2005-10),Not at or within 20 metres of junction,DENNIS,,Heavy oil,Male,None,No tow/articulation,Did not leave carriageway,0.0,Waiting to go - held up,1.0,Bus or coach (17 or more pass seats),No,Did not impact,2005.0,A,308.0,,0.0,Slight,Other object on road,2005-02-12,Saturday,1.0,Data missing or out of range,Not at junction or within 20 metres,51.485005,Daylight,Kensington and Chelsea,Kensington and Chelsea,526290.0,177800.0,-0.182546,E01002912,1.0,1.0,0.0,4.0,Metropolitan Police,Wet or damp,Single carriageway,Roadworks,30.0,11:33,Urban,Fine no high winds,2005.0,No
200501BS70025,46 - 55,10.0,Urban area,3.0,1994.0,None,None,Other/Not known (2005-10),Mid Junction - on roundabout or on main road,SUBARU,LEGACY GLS 4WD,Petrol,Female,None,No tow/articulation,Did not leave carriageway,0.0,Going ahead other,1.0,Car,No,Front,2005.0,Unclassified,0.0,Unclassified,0.0,Slight,None,2005-02-01,Tuesday,1.0,Give way or uncontrolled,Crossroads,51.492515,Darkness - lights lit,Kensington and Chelsea,Kensington and Chelsea,527270.0,178660.0,-0.16813,E01002862,1.0,2.0,0.0,0.0,Metropolitan Police,Wet or damp,Single carriageway,None,30.0,16:44,Urban,Raining no high winds,2005.0,No
200501BS70029,21 - 25,7.0,Urban area,3.0,599.0,None,None,Other/Not known (2005-10),Not at or within 20 metres of junction,KAWASAKI,ZX 600-G1,Petrol,Male,None,No tow/articulation,Did not leave carriageway,0.0,Going ahead other,1.0,Motorcycle over 500cc,No,Front,2005.0,B,450.0,,0.0,Serious,None,2005-02-15,Tuesday,1.0,Data missing or out of range,Not at junction or within 20 metres,51.521709,Darkness - lights lit,Kensington and Chelsea,Kensington and Chelsea,524100.0,181830.0,-0.212653,E01002905,1.0,1.0,0.0,1.0,Metropolitan Police,Dry,Single carriageway,None,30.0,18:15,Urban,Fine no high winds,2005.0,No
200501BS70030,56 - 65,8.0,Rural,9.0,11946.0,None,None,Other/Not known (2005-10),Approaching junction or waiting/parked at junction approach,MERCEDES,,Heavy oil,Male,None,Articulated vehicle,Did not leave carriageway,0.0,Going ahead other,1.0,Goods 7.5 tonnes mgw and over,No,Nearside,2005.0,A,3220.0,A,3217.0,Slight,None,2005-02-16,Wednesday,1.0,Auto traffic signal,Crossroads,51.481575,Daylight,Kensington and Chelsea,Kensington and Chelsea,526360.0,177420.0,-0.181674,E01002913,1.0,2.0,0.0,0.0,Metropolitan Police,Dry,Single carriageway,None,30.0,10:35,Urban,Fine no high winds,2005.0,No
200501BS70031,26 - 35,,Urban area,2.0,,None,None,Journey as part of work,Cleared junction or waiting/parked at junction exit,SAAB,9-5 VECTOR AUTO,,Male,None,No tow/articulation,Did not leave carriageway,0.0,Going ahead other,1.0,Bus or coach (17 or more pass seats),No,Nearside,2005.0,B,412.0,Unclassified,0.0,Slight,None,2005-02-18,Friday,1.0,Auto traffic signal,Crossroads,51.516656,Darkness - lights lit,Kensington and Chelsea,Kensington and Chelsea,524600.0,181280.0,-0.205645,E01002831,1.0,1.0,0.0,5.0,Metropolitan Police,Wet or damp,Single carriageway,None,30.0,17:36,Urban,Raining no high winds,2005.0,No
200501BS70036,Data missing or out of range,9.0,Urban area,7.0,1796.0,None,None,Other/Not known (2005-10),Mid Junction - on roundabout or on main road,ROVER,200 VI,Petrol,Male,None,No tow/articulation,Did not leave carriageway,0.0,Going ahead other,2.0,Car,No,Front,2005.0,Unclassified,0.0,Unclassified,0.0,Slight,None,2005-02-21,Monday,3.0,Give way or uncontrolled,Mini-roundabout,51.49724,Daylight,Kensington and Chelsea,Kensington and Chelsea,525430.0,179140.0,-0.194449,E01002813,1.0,2.0,0.0,0.0,Metropolitan Police,Dry,Roundabout,None,30.0,10:10,Urban,Fine no high winds,2005.0,No
200501BS70037,56 - 65,8.0,Urban area,1.0,1998.0,None,None,Other/Not known (2005-10),Mid Junction - on roundabout or on main road,MERCEDES,E200 CLASSIC AUTO,Petrol,Female,None,No tow/articulation,Did not leave carriageway,0.0,Going ahead other,1.0,Car,No,Front,2005.0,Unclassified,0.0,Unclassified,0.0,Slight,None,2005-02-20,Sunday,1.0,Give way or uncontrolled,T or staggered junction,51.506807,Daylight,Kensington and Chelsea,Kensington and Chelsea,524430.0,180180.0,-0.208481,E01002871,1.0,1.0,0.0,0.0,Metropolitan Police,Wet or damp,Single carriageway,None,30.0,14:50,Urban,Raining no high winds,2005.0,No
200501BS70038,56 - 65,,Urban area,3.0,,None,None,Other/Not known (2005-10),Not at or within 20 metres of junction,RENAULT,KANGOO 665 1.9D,,Male,None,No tow/articulation,Did not leave carriageway,0.0,Going ahead other,3.0,Car,No,Offside,2005.0,A,3220.0,,0.0,Slight,None,2005-02-22,Tuesday,1.0,Data missing or out of range,Not at junction or within 20 metres,51.481822,Daylight,Kensington and Chelsea,Kensington and Chelsea,526860.0,177460.0,-0.174463,E01002840,1.0,3.0,0.0,0.0,Metropolitan Police,Wet or damp,Dual carriageway,None,30.0,14:43,Urban,Fine no high winds,2005.0,No
200501BS70039,Data missing or out of range,9.0,Urban area,8.0,1495.0,None,None,Other/Not known (2005-10),Mid Junction - on roundabout or on main road,HYUNDAI,ACCENT GS AUTO,Petrol,Male,None,No tow/articulation,Did not leave carriageway,0.0,Turning right,2.0,Car,No,Nearside,2005.0,A,3220.0,Unclassified,0.0,Slight,None,2005-02-21,Monday,1.0,Give way or uncontrolled,T or staggered junction,51.49164,Darkness - lights lit,Kensington and Chelsea,Kensington and Chelsea,525150.0,178510.0,-0.198704,E01002848,2.0,2.0,0.0,4.0,Metropolitan Police,Dry,Single carriageway,None,30.0,17:20,Urban,Fine no high winds,2005.0,No
200501BS70043,26 - 35,2.0,Data missing or out of range,,1397.0,None,None,Other/Not known (2005-10),Mid Junction - on roundabout or on main road,MERCEDES,A140 ELEGANCE AUTO,Petrol,Not known,None,No tow/articulation,Did not leave carriageway,0.0,Parked,3.0,Car,No,Nearside,2005.0,C,0.0,Unclassified,0.0,Slight,None,2005-02-28,Monday,1.0,Give way or uncontrolled,Crossroads,51.491273,Darkness - lights lit,Kensington and Chelsea,Kensington and Chelsea,525990.0,178490.0,-0.186618,E01002836,1.0,4.0,0.0,0.0,Metropolitan Police,Wet or damp,Single carriageway,None,30.0,18:14,Urban,Fine no high winds,2005.0,No
200501BS70047,36 - 45,16.0,Urban area,7.0,1985.0,None,None,Other/Not known (2005-10),Mid Junction - on roundabout or on main road,SAAB,900 TURBO 16 CONV,Petrol,Male,None,No tow/articulation,Did not leave carriageway,0.0,U-turn,2.0,Car,No,Front,2005.0,A,4.0,C,0.0,Slight,None,2005-02-26,Saturday,1.0,Give way or uncontrolled,Crossroads,51.495084,Darkness - lights lit,Kensington and Chelsea,Kensington and Chelsea,526230.0,178920.0,-0.183009,E01002887,1.0,2.0,0.0,5.0,Metropolitan Police,Wet or damp,Single carriageway,None,30.0,17:00,Urban,Raining no high winds,2005.0,No
200501BS70048,36 - 45,1.0,Urban area,7.0,124.0,None,None,Other/Not known (2005-10),Mid Junction - on roundabout or on main road,PIAGGIO,VESPA GT 125,Petrol,Female,None,No tow/articulation,Did not leave carriageway,0.0,Going ahead other,1.0,Motorcycle 125cc and under,No,Nearside,2005.0,A,3212.0,C,0.0,Slight,None,2005-02-24,Thursday,1.0,Auto traffic signal,T or staggered junction,51.482582,Daylight,Kensington and Chelsea,Kensington and Chelsea,527080.0,177550.0,-0.171264,E01002844,1.0,2.0,0.0,0.0,Metropolitan Police,Wet or damp,Dual carriageway,None,30.0,09:15,Urban,Snowing no high winds,2005.0,No
200501BS70048,36 - 45,4.0,Data missing or out of range,,2597.0,None,None,Other/Not known (2005-10),Mid Junction - on roundabout or on main road,MERCEDES,,Petrol,Male,None,No tow/articulation,Did not leave carriageway,0.0,Turning right,2.0,Car,No,Did not impact,2005.0,A,3212.0,C,0.0,Slight,None,2005-02-24,Thursday,1.0,Auto traffic signal,T or staggered junction,51.482582,Daylight,Kensington and Chelsea,Kensington and Chelsea,527080.0,177550.0,-0.171264,E01002844,1.0,2.0,0.0,0.0,Metropolitan Police,Wet or damp,Dual carriageway,None,30.0,09:15,Urban,Snowing no high winds,2005.0,No
200501BS70049,56 - 65,6.0,Urban area,10.0,2664.0,None,None,Other/Not known (2005-10),Mid Junction - on roundabout or on main road,LONDON TAXIS INT,TX1 SILVER AUTO,Heavy oil,Male,None,No tow/articulation,Did not leave carriageway,0.0,Turning right,1.0,Taxi/Private hire car,No,Did not impact,2005.0,A,308.0,C,0.0,Slight,None,2005-02-25,Friday,1.0,Give way or uncontrolled,Crossroads,51.486931,Darkness - lights lit,Kensington and Chelsea,Kensington and Chelsea,526520.0,178020.0,-0.179156,E01002911,1.0,1.0,0.0,5.0,Metropolitan Police,Wet or damp,Single carriageway,None,30.0,00:11,Urban,Raining no high winds,2005.0,No
200501BS70052,26 - 35,5.0,Urban area,5.0,1396.0,None,None,Other/Not known (2005-10),Not at or within 20 metres of junction,ROVER,25 I 16V,Petrol,Female,None,No tow/articulation,Did not leave carriageway,0.0,Going ahead other,1.0,Car,No,Front,2005.0,Unclassified,0.0,,0.0,Slight,None,2005-02-23,Wednesday,1.0,Data missing or out of range,Not at junction or within 20 metres,51.499569,Daylight,Kensington and Chelsea,Kensington and Chelsea,524240.0,179370.0,-0.211503,E01002867,1.0,1.0,0.0,0.0,Metropolitan Police,Snow,Single carriageway,None,30.0,07:58,Urban,Snowing no high winds,2005.0,No
200501BS70061,21 - 25,3.0,Urban area,6.0,2963.0,None,None,Other/Not known (2005-10),Cleared junction or waiting/parked at junction exit,NISSAN,,Heavy oil,Male,None,No tow/articulation,Did not leave carriageway,0.0,Turning left,1.0,Van / Goods 3.5 tonnes mgw or under,No,Did not impact,2005.0,A,304.0,Unclassified,0.0,Slight,None,2005-03-01,Tuesday,1.0,Give way or uncontrolled,Private drive or entrance,51.4829,Daylight,Kensington and Chelsea,Kensington and Chelsea,526060.0,177560.0,-0.185942,E01002912,1.0,2.0,0.0,0.0,Metropolitan Police,Wet or damp,Single carriageway,None,30.0,12:03,Urban,Raining no high winds,2005.0,No
200501BS70061,26 - 35,1.0,Urban area,6.0,124.0,None,None,Other/Not known (2005-10),Cleared junction or waiting/parked at junction exit,PIAGGIO,VESPA ET4,Petrol,Male,None,No tow/articulation,Did not leave carriageway,0.0,Going ahead other,2.0,Motorcycle 125cc and under,No,Did not impact,2005.0,A,304.0,Unclassified,0.0,Slight,None,2005-03-01,Tuesday,1.0,Give way or uncontrolled,Private drive or entrance,51.4829,Daylight,Kensington and Chelsea,Kensington and Chelsea,526060.0,177560.0,-0.185942,E01002912,1.0,2.0,0.0,0.0,Metropolitan Police,Wet or damp,Single carriageway,None,30.0,12:03,Urban,Raining no high winds,2005.0,No
200501BS70062,21 - 25,8.0,Urban area,3.0,749.0,None,None,Other/Not known (2005-10),Approaching junction or waiting/parked at junction approach,YAMAHA,,Petrol,Male,None,No tow/articulation,Did not leave carriageway,0.0,Going ahead other,2.0,Motorcycle over 500cc,No,Front,2005.0,A,3220.0,A,3220.0,Slight,None,2005-02-14,Monday,1.0,Auto traffic signal,Crossroads,51.481989,Darkness - lights lit,Kensington and Chelsea,Kensington and Chelsea,526920.0,177480.0,-0.173592,E01002840,1.0,2.0,0.0,0.0,Metropolitan Police,Dry,Single carriageway,None,30.0,23:03,Urban,Fine no high winds,2005.0,No
200501BS70063,26 - 35,3.0,Data missing or out of range,,49.0,None,None,Other/Not known (2005-10),Mid Junction - on roundabout or on main road,PIAGGIO,ET2,Petrol,Female,None,No tow/articulation,Did not leave carriageway,0.0,Going ahead other,1.0,Motorcycle 50cc and under,No,Did not impact,2005.0,A,3220.0,Unclassified,0.0,Slight,None,2005-02-02,Wednesday,1.0,Give way or uncontrolled,T or staggered junction,51.481746,Darkness - lights lit,Kensington and Chelsea,Kensington and Chelsea,526800.0,177450.0,-0.17533,E01002840,1.0,2.0,0.0,0.0,Metropolitan Police,Wet or damp,Single carriageway,None,30.0,22:19,Urban,Raining no high winds,2005.0,No
200501BS70066,26 - 35,2.0,Urban area,7.0,49.0,Open door of vehicle,None,Other/Not known (2005-10),Not at or within 20 metres of junction,PIAGGIO,ET2,Petrol,Male,None,No tow/articulation,Did not leave carriageway,0.0,Overtaking static vehicle - offside,1.0,Motorcycle 50cc and under,No,Nearside,2005.0,A,315.0,,0.0,Serious,None,2005-03-01,Tuesday,2.0,Data missing or out of range,Not at junction or within 20 metres,51.497552,Darkness - lights lit,Kensington and Chelsea,Kensington and Chelsea,524830.0,179160.0,-0.203081,E01002814,1.0,2.0,0.0,0.0,Metropolitan Police,Wet or damp,Single carriageway,None,30.0,19:15,Urban,Raining no high winds,2005.0,No
200501BS70068,21 - 25,3.0,Urban area,2.0,1242.0,None,None,Other/Not known (2005-10),Mid Junction - on roundabout or on main road,FIAT,,Petrol,Female,None,No tow/articulation,Did not leave carriageway,0.0,Going ahead other,2.0,Car,No,Front,2005.0,A,308.0,A,4.0,Slight,None,2005-03-05,Saturday,1.0,Auto traffic signal,T or staggered junction,51.496399,Darkness - lights lit,Kensington and Chelsea,Kensington and Chelsea,527180.0,179090.0,-0.16927,E01002821,4.0,2.0,0.0,5.0,Metropolitan Police,Dry,Dual carriageway,None,30.0,02:58,Urban,Fine no high winds,2005.0,No
200501BS70070,36 - 45,2.0,Urban area,3.0,1997.0,None,None,Other/Not known (2005-10),Mid Junction - on roundabout or on main road,PEUGEOT,406 GLX HDI (110),Heavy oil,Male,None,No tow/articulation,Did not leave carriageway,0.0,Going ahead other,1.0,Car,No,Front,2005.0,B,412.0,Unclassified,0.0,Slight,None,2005-03-08,Tuesday,1.0,Auto traffic signal,Crossroads,51.516658,Darkness - lights lit,Kensington and Chelsea,Kensington and Chelsea,524590.0,181280.0,-0.205789,E01002831,1.0,1.0,0.0,0.0,Metropolitan Police,Dry,Single carriageway,None,30.0,23:40,Urban,Fine no high winds,2005.0,No
200501BS70072,26 - 35,5.0,Data missing or out of range,,49.0,None,None,Other/Not known (2005-10),Mid Junction - on roundabout or on main road,HONDA,SH50,Petrol,Male,None,No tow/articulation,Did not leave carriageway,0.0,Going ahead other,1.0,Motorcycle 50cc and under,No,Front,2005.0,Unclassified,0.0,Unclassified,0.0,Slight,None,2005-03-03,Thursday,1.0,Give way or uncontrolled,Mini-roundabout,51.515582,Darkness - lights lit,Kensington and Chelsea,Kensington and Chelsea,524580.0,181160.0,-0.205975,E01002833,1.0,1.0,0.0,0.0,Metropolitan Police,Wet or damp,Roundabout,None,30.0,21:07,Urban,Fine no high winds,2005.0,No
200501BS70075,Data missing or out of range,2.0,Data missing or out of range,,7300.0,None,None,Journey as part of work,Mid Junction - on roundabout or on main road,VOLVO,,Heavy oil,Male,None,No tow/articulation,Did not leave carriageway,0.0,Parked,1.0,Bus or coach (17 or more pass seats),No,Did not impact,2005.0,A,3217.0,Unclassified,0.0,Slight,None,2005-03-08,Tuesday,1.0,Give way or uncontrolled,T or staggered junction,51.482775,Daylight,Kensington and Chelsea,Kensington and Chelsea,526620.0,177560.0,-0.177882,E01002840,1.0,1.0,0.0,0.0,Metropolitan Police,Dry,Single carriageway,None,30.0,13:36,Urban,Fine no high winds,2005.0,No
200501BS70076,46 - 55,4.0,Urban area,1.0,7300.0,None,None,Other/Not known (2005-10),Approaching junction or waiting/parked at junction approach,VOLVO,,Heavy oil,Male,None,No tow/articulation,Did not leave carriageway,0.0,Going ahead other,2.0,Bus or coach (17 or more pass seats),No,Front,2005.0,A,402.0,A,4204.0,Slight,None,2005-03-06,Sunday,1.0,Auto traffic signal,Crossroads,51.509377,Darkness - lights lit,Kensington and Chelsea,Kensington and Chelsea,525410.0,180490.0,-0.194258,E01002827,1.0,2.0,0.0,0.0,Metropolitan Police,Dry,Single carriageway,None,30.0,01:05,Urban,Fine no high winds,2005.0,No
200501BS70077,36 - 45,2.0,Urban area,9.0,3950.0,None,None,Other/Not known (2005-10),Mid Junction - on roundabout or on main road,LAND ROVER,DISCOVERY V8I ES AUTO,Petrol,Female,None,No tow/articulation,Did not leave carriageway,0.0,Waiting to go - held up,1.0,Car,No,Back,2005.0,B,450.0,Unclassified,0.0,Slight,None,2005-03-08,Tuesday,1.0,Give way or uncontrolled,Crossroads,51.514716,Daylight,Kensington and Chelsea,Kensington and Chelsea,524430.0,181060.0,-0.208171,E01002874,1.0,2.0,0.0,0.0,Metropolitan Police,Dry,Single carriageway,None,30.0,12:20,Urban,Fine no high winds,2005.0,No
200501BS70077,26 - 35,,Urban area,5.0,,None,None,Other/Not known (2005-10),Mid Junction - on roundabout or on main road,VOLVO,,,Male,None,No tow/articulation,Did not leave carriageway,0.0,Slowing or stopping,2.0,Van / Goods 3.5 tonnes mgw or under,No,Front,2005.0,B,450.0,Unclassified,0.0,Slight,None,2005-03-08,Tuesday,1.0,Give way or uncontrolled,Crossroads,51.514716,Daylight,Kensington and Chelsea,Kensington and Chelsea,524430.0,181060.0,-0.208171,E01002874,1.0,2.0,0.0,0.0,Metropolitan Police,Dry,Single carriageway,None,30.0,12:20,Urban,Fine no high winds,2005.0,No
200501BS70079,36 - 45,3.0,Urban area,7.0,645.0,None,None,Other/Not known (2005-10),Mid Junction - on roundabout or on main road,SUZUKI,SV 650S K2,Petrol,Male,None,No tow/articulation,Did not leave carriageway,0.0,Going ahead other,1.0,Motorcycle over 500cc,No,Front,2005.0,A,3220.0,A,308.0,Slight,None,2005-03-09,Wednesday,1.0,Auto traffic signal,Crossroads,51.483253,Daylight,Kensington and Chelsea,Kensington and Chelsea,526090.0,177600.0,-0.185496,E01002912,1.0,3.0,0.0,5.0,Metropolitan Police,Dry,Single carriageway,Auto signal part defective,30.0,16:55,Urban,Fine no high winds,2005.0,No
